cluster,n_crashes,severe_rate,mean_severity_score,median_severity_score
7,59752,6.590574374079529,0.32358749497924755,0.0
5,30859,8.574483943096018,0.4106095466476555,0.0
3,28184,7.543286971331252,0.3679924780017031,0.0
1,18684,6.454720616570328,0.32576000856347676,0.0
2,17943,5.79613219639971,0.30730647048988463,0.0
4,15834,12.757357584943794,0.5830807123910572,0.0
6,13858,6.537739933612354,0.3441694328185885,0.0
8,13162,22.25345692144051,0.9535784835131439,0.0
0,4721,8.53632704935395,0.44206735861046387,0.0
