cluster,count,percent_of_all_crashes
-1,6278,2.9998805399593835
0,4721,2.255883407000358
1,18684,8.927965595508303
2,17943,8.573886035121252
3,28184,13.467447138932027
4,15834,7.566121132481185
5,30859,14.745669573527655
6,13858,6.62190897144905
7,59752,28.55190538764783
8,13162,6.289332218372954
