cluster,variable,value,cluster_pct,overall_pct,diff_pct,ratio,feature_text
0,first_crash_type,FIXED OBJECT,83.94407964414319,2.1522485553973705,81.79183108874581,39.002967121817655,crash form: FIXED OBJECT
0,lighting_condition,"DARKNESS, LIGHTED ROAD",44.52446515568735,25.33239407478928,19.19207108089807,1.7576098423321922,"lighting condition: DARKNESS, LIGHTED ROAD"
0,traffic_control_device,NO CONTROLS,23.72378733319212,13.364236909905072,10.359550423287049,1.7751696182225665,traffic control: NO CONTROLS
0,prim_contributory_cause,UNABLE TO DETERMINE,37.68269434441856,27.608289777681446,10.07440456673711,1.3649050574252255,contributory cause: UNABLE TO DETERMINE
1,weather_condition,RAIN,56.65275101691286,10.361729483686952,46.29102153322591,5.46749952371411,weather: RAIN
1,lighting_condition,DAYLIGHT,92.77991864697067,65.14135676881925,27.638561878151425,1.424285941360389,lighting condition: DAYLIGHT
1,prim_contributory_cause,WEATHER,5.667951188182402,1.316275609984384,4.351675578198018,4.306051973605775,contributory cause: WEATHER
1,first_crash_type,REAR END,23.656604581460073,19.931821652536737,3.724782928923334,1.1868761919435136,crash form: REAR END
2,traffic_control_device,NO CONTROLS,91.45070501031043,13.364236909905072,78.08646810040536,6.8429425209104595,traffic control: NO CONTROLS
2,lighting_condition,DAYLIGHT,94.80020063534525,65.14135676881925,29.65884386652601,1.4552997563710954,lighting condition: DAYLIGHT
2,weather_condition,CLEAR,95.9984395028702,80.40365128548697,15.594788217383226,1.1939562192519249,weather: CLEAR
2,trafficway_type,NOT DIVIDED,46.59198573259767,37.60745232688168,8.98453340571599,1.2389030059155024,roadway type: NOT DIVIDED
3,traffic_control_device,STOP SIGN/FLASHER,98.30045415838774,23.574732631516724,74.72572152687101,4.1697378161129715,traffic control: STOP SIGN/FLASHER
3,lighting_condition,DAYLIGHT,95.1781152426909,65.14135676881925,30.03675847387164,1.461101210717323,lighting condition: DAYLIGHT
3,first_crash_type,ANGLE,52.054357082032354,25.26736848327808,26.786988598754274,2.060141605821828,crash form: ANGLE
3,prim_contributory_cause,FAILING TO YIELD RIGHT-OF-WAY,36.776185069543004,20.715084459376246,16.061100610166758,1.7753335807857178,contributory cause: FAILING TO YIELD RIGHT-OF-WAY
4,lighting_condition,"DARKNESS, LIGHTED ROAD",80.59871163319438,25.33239407478928,55.2663175584051,3.1816460534776683,"lighting condition: DARKNESS, LIGHTED ROAD"
4,traffic_control_device,TRAFFIC SIGNAL,71.61803713527851,60.133400986221474,11.484636149057037,1.1909859738631536,traffic control: TRAFFIC SIGNAL
4,prim_contributory_cause,DISREGARDING TRAFFIC SIGNALS,17.525577870405456,7.119809652359395,10.405768218046061,2.461523372973567,contributory cause: DISREGARDING TRAFFIC SIGNALS
4,first_crash_type,ANGLE,35.19641278261968,25.26736848327808,9.9290442993416,1.3929591760183746,crash form: ANGLE
5,lighting_condition,"DARKNESS, LIGHTED ROAD",78.53786577659679,25.33239407478928,53.2054717018075,3.1002938587141835,"lighting condition: DARKNESS, LIGHTED ROAD"
5,weather_condition,CLEAR,98.1366862179591,80.40365128548697,17.733034932472126,1.2205501199131858,weather: CLEAR
5,traffic_control_device,TRAFFIC SIGNAL,65.90621860721345,60.133400986221474,5.772817620991977,1.0960001850271983,traffic control: TRAFFIC SIGNAL
5,first_crash_type,TURNING,34.87151236268188,31.116716010581435,3.7547963521004424,1.1206681434770815,crash form: TURNING
6,lighting_condition,"DARKNESS, LIGHTED ROAD",60.86736902871988,25.33239407478928,35.53497495393059,2.402748388052864,"lighting condition: DARKNESS, LIGHTED ROAD"
6,weather_condition,RAIN,45.865204214172316,10.361729483686952,35.503474730485365,4.426404326264304,weather: RAIN
6,prim_contributory_cause,UNABLE TO DETERMINE,34.175205657382016,27.608289777681446,6.566915879700574,1.2378602924187383,contributory cause: UNABLE TO DETERMINE
6,traffic_control_device,UNKNOWN,6.249097993938519,1.8438696138366577,4.405228380101861,3.3891214145753077,traffic control: UNKNOWN
7,traffic_control_device,TRAFFIC SIGNAL,99.19835319319856,60.133400986221474,39.064952206977075,1.6496381639203832,traffic control: TRAFFIC SIGNAL
7,lighting_condition,DAYLIGHT,99.04103628330432,65.14135676881925,33.89967951448508,1.5204018030326258,lighting condition: DAYLIGHT
7,weather_condition,CLEAR,95.99176596599277,80.40365128548697,15.588114680505793,1.1938732188312882,weather: CLEAR
7,first_crash_type,REAR END,25.451867719908954,19.931821652536737,5.520046067372217,1.27694639073141,crash form: REAR END
8,first_crash_type,REAR END,28.172010332776175,19.931821652536737,8.240188680239438,1.4134187443519846,crash form: REAR END
8,prim_contributory_cause,DISREGARDING TRAFFIC SIGNALS,11.92827837714633,7.119809652359395,4.808468724786935,1.6753647863596302,contributory cause: DISREGARDING TRAFFIC SIGNALS
8,trafficway_type,FOUR WAY,26.105455098009422,23.707246905126677,2.398208192882745,1.1011592869674012,roadway type: FOUR WAY
